Localidad	Derivado	Boca de expendio	Dirección	Bandera	Precio sin impuesto	Precio final	Volumen informado (m3)	lon	lat
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV DIAZ VELEZ 4373	YPF	1141.29	1631	535.7	-58.428713	-34.608624
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	NAFPUR XXI SA.	Zelarrayan 5530	YPF	1093.09	1663	299.39	-58.428297	-34.639926
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PROINCO SA	AV. LA PLATA 901	YPF	1008.94	1643	268.72	-58.427058	-34.626264
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV CORDOBA 4201	YPF	1168.64	1663	351.54	-58.426312	-34.596155
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	godoy cruz 3151	YPF	1095.77	1663	482.78	-58.421383	-34.574079
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA ACA ONCE	AV RIVADAVIA 3341	YPF	1141.29	1631	394.69	-58.413697	-34.610554
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PETROLFE S.A.	Av.San Juan 2901	YPF	1049.34	1643	299.29	-58.405955	-34.624095
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	INCAT S.R.L.	AV. INDEPENDENCIA 2701	YPF	1067.92	1643	566.76	-58.403879	-34.618601
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	HUACALERA SRL	Av. Juan de Garay 2780	YPF	1067.49	1643	239.68	-58.403184	-34.629047
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	AV.DEL LIBERTADOR 1850	YPF	1095.41	1663	502.61	-58.400156	-34.582938
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	MADRO S.A.	AV. AMANCIO ALCORTA 2711	YPF	1016.91	1643	93.86	-58.399468	-34.644060
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SERVINORTE S.A.	PARAGUAY 1676	YPF	1095.83	1642	522.11	-58.390866	-34.598628
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SAN JUAN Y SOLIS ALVAREZ Y DI LEVA S.A.	AV. SAN JUAN 1701	YPF	1068.18	1643	444.67	-58.390027	-34.622519
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	Av. Montes de Oca 490	YPF	1067.29	1645	337.33	-58.375399	-34.633994
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	RED PETROL S.A.	AV.CNEL ROCA 6787	YPF	1104.01	1663	341.22	-58.468546	-34.696288
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA ACA AUTODROMO	Av. Coronel Roca 4550	YPF	1168.64	1663	297.58	-58.450327	-34.680735
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	GASOLEO S.A.	Av. Juan B. Alberdi 7500	YPF	1087.78	1663	245.1	-58.517071	-34.662187
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	Av VELEZ SARFIELD 850	YPF	1151.54	1643	352.11	-58.389199	-34.645117
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SERVICIO ESCALADA S.A.	Av. Escalada 678	YPF	1069.96	1660	233.34	-58.496310	-34.643894
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PSF UNISERVICIOS S.R.L	Av. José María Moreno 1483	YPF	1078.75	1643	265.54	-58.432554	-34.636022
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	LA QUINTA ESTACION S.R.L.	AV.GRAL.MOSCONI 3289	YPF	1079.03	1662	323.71	-58.507462	-34.589280
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	Av. Pres. Figueroa Alcorta 6608	YPF	1168.64	1663	619.2	-58.437303	-34.551504
