Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Monroe 3078 (esq. Balbin)			AXION		1.576,28	2.199,00	19,64		NO
CAPITAL FEDERAL	Gas Oil Grado 2		INCAT S.R.L.					AV. INDEPENDENCIA 2701			YPF		1.499,46	2.112,00	50,99		NO
CAPITAL FEDERAL	Gas Oil Grado 2		AUTOMOVIL CLUB ARGENTINO					AV.RIVADAVIA 7530			YPF		1.498,70	2.119,00	28,81		NO
CAPITAL FEDERAL	Gas Oil Grado 2		CASTAÑO AUTOVOR SRL					AUT DELLEPIANE 6017 MANO PROVINCIA			SHELL C.A.P.S.A.		1.231,54	2.199,00	6,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		OCTOBER S.A.					AV. WARNES 2040			AXION		1.271,44	2.189,00	27,18		NO
CAPITAL FEDERAL	Gas Oil Grado 2		EMICAS SRL					AV. EMILIO CASTRO 7541			AXION		1.520,00	2.188,00	48,40		NO
CAPITAL FEDERAL	Gas Oil Grado 2		RIVAGAS S.A.					AV. RIVADAVIA 8101			YPF		1.497,65	2.112,00	13,77		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PETROLFE S.A.					Av.San Juan 2901			YPF		1.522,10	2.112,52	33,59		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTACION DE SERVICIO ALCOVER SRL					AV. EVA PERON 7460			SHELL C.A.P.S.A.		1.581,52	2.199,00	90,15		NO
CAPITAL FEDERAL	Gas Oil Grado 2		REFINERIA BAHIA BLANCA S.A.U.					VELEZ SARFIELD 522 0 ESQ. CORTEJARENA			PUMA		1.556,69	2.141,00	49,12		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Triunvirato 5878 (esq. Av. Crisólogo Larralde)			AXION		1.576,28	2.199,00	22,32		NO
CAPITAL FEDERAL	Gas Oil Grado 2		HUACALERA SRL					Av. Juan de Garay 2780			YPF		1.499,87	2.110,00	38,81		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PROODOS SA					AV. JUAN B. JUSTO 5315			YPF		1.497,13	2.101,00	36,30		NO
CAPITAL FEDERAL	Gas Oil Grado 2		SAN JUAN Y SOLIS ALVAREZ Y DI LEVA S.A.					AV. SAN JUAN 1701			YPF		1.502,29	2.112,00	33,71		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Mosconi 2500 (esq. J.G. de Artigas)			AXION		1.576,28	2.199,00	20,70		NO
CAPITAL FEDERAL	Gas Oil Grado 2		OPESSA ACA ONCE					AV RIVADAVIA 3341			YPF		1.543,25	2.101,00	34,76		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ROAL SRL					MARIANO ACOSTA 1195			SHELL C.A.P.S.A.		1.565,64	2.199,00	326,17		NO
CAPITAL FEDERAL	Gas Oil Grado 2		GOMCOM S.A.					AV F.F.DE LA CRUZ 3205			SHELL C.A.P.S.A.		1.596,52	2.199,00	46,70		NO
CAPITAL FEDERAL	Gas Oil Grado 2		MADRO S.A.					AV. AMANCIO ALCORTA 2711			YPF		1.382,46	2.119,00	364,68		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTACION DE SERVICIO NORTEÑA SRL					Av Ricardo Balbin 4491			YPF		1.356,75	2.114,00	230,67		NO
