Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	GNC		OPESSA ACA AUTODROMO					AVENIDA CNEL. JOSE SEGUNDO ROCA 4550			YPF		543,09	695,00	80.856,00		NO
CAPITAL FEDERAL	GNC		REFINERIA BAHIA BLANCA S.A.U.					VELEZ SARFIELD 522 0 ESQ. CORTEJARENA			PUMA		520,11	649,00	109,27		NO
CAPITAL FEDERAL	GNC		FOREST GNC S.A.					AV. FOREST 639			BLANCA		456,88	559,90	209.310,00		NO
CAPITAL FEDERAL	GNC		LEJEM S.A.					INTENDENTE RABANAL 1733			AXION		532,95	650,00	95.130,00		NO
CAPITAL FEDERAL	GNC		DEHEZA S.A.I.C.F.I.					AV. CORRIENTES 6535			SHELL C.A.P.S.A.		0,49	599,00	116.535,00		NO
CAPITAL FEDERAL	GNC		GASING S.A.					SARMIENTO 3412			BLANCA		554,71	679,00	95.742,00		NO
CAPITAL FEDERAL	GNC		GASOLEO S.A.					Av. Juan B. Alberdi 7500			YPF		567,25	699,00	40.472,00		NO
CAPITAL FEDERAL	GNC		EVANGELISTA E HIJOS S.A.					AV. LACARRA 1729			PUMA		470,25	569,00	180.238,00		NO
CAPITAL FEDERAL	GNC		ROHMBE SA					EVA PERÓN 2330			BLANCA		470,99	569,90	131.959,00		NO
CAPITAL FEDERAL	GNC		NUVICO S.A.					Av. Juan B. Justo 4631			BLANCA		432,17	530,00	220.146,00		NO
CAPITAL FEDERAL	GNC		RUTA AL OESTE SRL					AV JUAN B JUSTO 8490			SHELL C.A.P.S.A.		366,90	649,90	119.603,00		NO
CAPITAL FEDERAL	GNC		GASPARQUE S.A.					AV. DR. RICARDO BALBIN 5041			YPF		553,94	680,00	116.739,00		NO
CAPITAL FEDERAL	GNC		OPESSA					AV DIAZ VELEZ 4373 Y YATAY			YPF		499,33	639,00	147.785,00		NO
CAPITAL FEDERAL	GNC		BRAGADO GAS SRL					BRAGADO 6001			BLANCA		489,19	599,00	157.625,00		NO
CAPITAL FEDERAL	GNC		SALFACO S.A.					LIMA 1097			BLANCA		528,51	669,00	104.368,00		NO
CAPITAL FEDERAL	GNC		CHICLANA 3827 SRL					CHICLANA 3827			BLANCA		453,72	549,00	131.480,00		NO
CAPITAL FEDERAL	GNC		GASYDIN S.A.					AV. INDEPENDENCIA 853			BLANCA		501,77	649,00	373.554,00		NO
CAPITAL FEDERAL	GNC		GAS Y GAS S.A					THAMES 448			BLANCA		520,58	629,90	152.186,00		NO
CAPITAL FEDERAL	GNC		GC CONGRESO S.R.L					ENTRE RIOS 1102			PUMA		553,57	659,00	98.350,60		NO
CAPITAL FEDERAL	GNC		LUCIA MAR S.A.					AV. REGIMIENTO DE PATRICIOS 1302			BLANCA		573,37	699,90	97.027,60		NO
CAPITAL FEDERAL	GNC		SAN BRA S.A.					AV. BRASIL 1402			BLANCA		248,85	609,00	104,14		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Congreso 4801 (esq. Galvan)			AXION		611,57	740,00	58.875,00		NO
CAPITAL FEDERAL	GNC		ESTACION DE SERVICIOS SANTA TERESITA					AV. EVA PERON 3668			PUMA		464,40	569,00	141.876,00		NO
CAPITAL FEDERAL	GNC		NOCEDA S.A.					Warnes 236			YPF		516,71	650,00	77.341,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Triunvirato 5878 (esq. Av. Crisólogo Larralde)			AXION		611,57	740,00	50.841,60		NO
CAPITAL FEDERAL	GNC		CID GAS SA					AV. GAONA 1501			YPF		519,87	650,00	94.794,00		NO
CAPITAL FEDERAL	GNC		URDININEA S.A.					AV. ALVAREZ THOMAS 2392			BLANCA		495,00	600,00	135.898,00		NO
CAPITAL FEDERAL	GNC		GNC DEVOTO S.R.L.					Coronel Ramon Lista 5034			BLANCA		570,17	689,90	103.511,00		NO
CAPITAL FEDERAL	GNC		GNC LOS AMIGOS S.A.					AV.DE LOS CONSTITUYENTES 4480			BLANCA		572,65	700,00	130.391,00		NO
CAPITAL FEDERAL	GNC		GNC POMPEYA SA					AV. AMANCIO ALCORTA 3415			YPF		564,42	689,90	210.307,00		NO
CAPITAL FEDERAL	GNC		GOMCOM S.A.					AV F.F.DE LA CRUZ 3205			SHELL C.A.P.S.A.		525,62	670,00	54.307,00		NO
CAPITAL FEDERAL	GNC		ESTACION DE SERVICIO NORTEÑA SRL					Av Ricardo Balbin 4491			YPF		549,55	700,00	90.033,30		NO
CAPITAL FEDERAL	GNC		MARTINA SA					ALVAREZ THOMAS 1781			BLANCA		544,90	669,99	62.920,00		NO
CAPITAL FEDERAL	GNC		MASTER GAS S.A.					BOEDO 1616			BLANCA		535,00	649,00	92.628,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Emilio Castro 6512 (esq. Cafayate)			AXION		611,57	740,00	54.761,60		NO
CAPITAL FEDERAL	GNC		TRIGAS S.A.					AV.CNEL.ROCA N° 6883			SHELL C.A.P.S.A.		574,38	695,00	77.254,00		NO
CAPITAL FEDERAL	GNC		OPESSA					AV DIRECTORIO 4311/27 Y OLIVERA			YPF		507,15	649,00	63.128,00		NO
CAPITAL FEDERAL	GNC		GRUPO GAS SRL.					AV. INDEPENDENCIA 3933			BLANCA		547,04	719,00	58.241,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 3199 (esq. Anchorena)			AXION		615,70	745,00	91.611,60		NO
CAPITAL FEDERAL	GNC		BIGO GAS S.A					BILLINGHURST 1209			BLANCA		635,53	769,00	196.528,00		NO
CAPITAL FEDERAL	GNC		AQUI GAS S.A.					ESTADO DE ISRAEL 4361			BLANCA		516,19	631,67	161.180,00		NO
CAPITAL FEDERAL	GNC		ESTACIÓN DE SERVICIO LASCANO 2000 SA					NAZCA 2502			SHELL C.A.P.S.A.		375,27	649,00	109.719,00		SI
CAPITAL FEDERAL	GNC		IMPIERI, PIÑEIRO, RIZZO Y ASOC. S.A.					Mexico 2701			SHELL C.A.P.S.A.		527,22	645,00	53.149,00		NO
CAPITAL FEDERAL	GNC		ESTACION DE SERVICIO ALCOVER SRL					AV. EVA PERON 7460			SHELL C.A.P.S.A.		571,83	699,00	138.185,00		NO
CAPITAL FEDERAL	GNC		SERVICIO ESCALADA S.A.					ESACALADA 678			YPF		537,19	650,00	54.487,00		NO
CAPITAL FEDERAL	GNC		MEXI-GAS S.A.					BERNARDO DE IRIGOYEN 592			BLANCA		244,48	619,00	221,27		NO
CAPITAL FEDERAL	Kerosene		CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO					AVDA ESCALADA 2951			YPF		1.551,74	2.200,00	6,23		NO
CAPITAL FEDERAL	Nafta (común) hasta 92 Ron		YAPAY NEASA S.R.L.					AV. CORRIENTES N° 3101			SHELL C.A.P.S.A.		1.475,68	2.129,00	144,30		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		YAPAY NEASA S.R.L.					AV. CORRIENTES N° 3101			SHELL C.A.P.S.A.		1.723,57	2.429,00	82,99		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ALBERDI 2299 SRL					AV. JUAN B. ALBERDI 2299			SHELL C.A.P.S.A.		1.702,19	2.429,00	101,03		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ALGAVI SA					EVA PERON 2101			SHELL C.A.P.S.A.		1.730,43	2.429,00	49,23		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ALMIRO SRL					JUAN B. ALBERDI 1502			SHELL C.A.P.S.A.		1.324,23	2.429,00	195,55		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ANALIA SUSANA MARTINEZ					AV. LARRAZABAL 801			YPF		1.443,09	2.239,00	16,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ASAMUL S.R.L.					AV SAN MARTIN 3500			SHELL C.A.P.S.A.		1.726,16	2.429,00	56,73		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AUTOMOVIL CLUB ARGENTINO					godoy cruz 3151			YPF		1.602,81	2.281,00	370,13		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AUTOMOVIL CLUB ARGENTINO					AV.RIVADAVIA 7530			YPF		1.571,77	2.244,00	199,36		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AUTOMOVIL CLUB ARGENTINO					FRANCISCO BEIRO 3561			YPF		1.576,87	2.227,00	201,71		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AUTOMOVIL CLUB ARGENTINO					AV. CABILDO 1499			YPF		1.602,85	2.281,00	253,83		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AUTOMOVIL CLUB ARGENTINO					AV.MONTES DE OCA Y M.GARCIA			YPF		1.571,64	2.244,00	138,74		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AUTOMOVIL CLUB ARGENTINO					AV.DEL LIBERTADOR 1850			YPF		1.602,85	2.281,00	410,53		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		AVELLANEDA 2411 S.R.L.					AV. AVELLANEDA 2411			SHELL C.A.P.S.A.		1.726,28	2.429,00	101,97		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		BOYACA C.I.S.A.					AV.ELCANO 4000			YPF		1.582,48	2.255,00	64,21		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		BRAMO S.A.					AV. JUAN B. JUSTO 4407			SHELL C.A.P.S.A.		1.732,23	2.452,00	56,10		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO					AVDA ESCALADA 2951			YPF		1.572,10	2.239,00	57,95		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CARACAS COMBUSTIBLE SRL					AV. GAONA 2886 Y CARACAS			SHELL C.A.P.S.A.		1.723,55	2.429,00	127,26		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CASAMASSIMA LEANDRO OMAR Y CASAMASSIMA MARTIN ALEJANDRO S.H.					Avenida La Plata 1614			PUMA		1.328,32	2.392,00	10,60		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CASTAÑO AUTOVOR SRL					AUT DELLEPIANE 6017 MANO PROVINCIA			SHELL C.A.P.S.A.		1.371,56	2.449,00	25,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CASTAÑO AUTOVOX SRL					AV Tte Gral DELLEPIANE 5950			SHELL C.A.P.S.A.		1.371,56	2.449,00	61,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		COLON SRL					Av. de los Constituyentes 3516			SHELL C.A.P.S.A.		2.007,15	2.429,00	54,68		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CORRO NORTE S.A					CORRO 501			YPF		1.847,76	2.252,00	84,74		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		CRISTINA ISABELLI DE MARTINEZ E HIJOS S.H					juramento 3411			DAPSA S.A.		1.658,08	2.327,00	7,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DARSISA S.A.					AV. JUAN B. JUSTO Nº 7099			YPF		620,97	2.252,00	119,71		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.C.I.F.I					24 DE NOVIEMBRE E INDEPENDENCIA			SHELL C.A.P.S.A.		1.726,28	2.429,00	191,84		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.E.I					AU DELLEPIANE 4180			SHELL C.A.P.S.A.		1.742,81	2.449,00	116,10		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.E.I					AU. DELLEPIANE 4187 (MANO PROVINCIA)			SHELL C.A.P.S.A.		1.742,81	2.449,00	145,39		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I					AV. FIGUEROA ALCORTA 3099			SHELL C.A.P.S.A.		1.742,81	2.449,00	348,84		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. CORRIENTES 6535			SHELL C.A.P.S.A.		1.726,28	2.429,00	142,54		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					Av.Diaz Velez 4368			SHELL C.A.P.S.A.		1.674,52	2.359,00	203,80		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AUT. ILLIA ENTRE 7 Y PEAJE			SHELL C.A.P.S.A.		1.742,81	2.449,00	358,50		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. FIGUEROA ALCORTA 7786			SHELL C.A.P.S.A.		1.711,82	2.399,00	114,47		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. CRAMER 1691			SHELL C.A.P.S.A.		1.742,81	2.449,00	188,81		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. CABILDO 4701			SHELL C.A.P.S.A.		1.742,81	2.449,00	221,84		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. CORDOBA 3710			SHELL C.A.P.S.A.		1.726,28	2.429,00	241,15		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. LIBERTADOR 7920			SHELL C.A.P.S.A.		1.742,81	2.449,00	219,84		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					LINCOLN 3999			SHELL C.A.P.S.A.		1.726,28	2.429,00	174,85		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.F.I.					AV. PASEO COLON 849			SHELL C.A.P.S.A.		1.726,28	2.429,00	310,73		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.I.F.I.					MAZA 391/97			SHELL C.A.P.S.A.		1.726,28	2.429,00	144,31		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.I.F.I.					LIBERTADOR 550			SHELL C.A.P.S.A.		1.742,81	2.449,00	451,74		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.I.F.I.					AV. GRAL. PAZ 5500- MANO CAPITAL.			SHELL C.A.P.S.A.		1.747,77	2.455,00	401,72		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEHEZA S.A.I.C.I.F.I.					AV. GRAL. PAZ 5400- MANO PROVINCIA.			SHELL C.A.P.S.A.		1.747,77	2.455,00	334,63		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DESTINATUM S.A.					Av Eva Peron 6102			YPF		1.597,08	2.239,00	21,02		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DEVOTO STATION SA					Av. Chiclana 3702			SHELL C.A.P.S.A.		1.779,25	2.496,00	137,63		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		DTP SA					AV. RIVADAVIA 10984			PUMA		1.630,39	2.373,00	18,01		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		EMICAS SRL					AV. EMILIO CASTRO 7541			AXION		1.634,00	2.378,00	50,78		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION DE SERVICIO ALCOVER SRL					AV. EVA PERON 7460			SHELL C.A.P.S.A.		1.742,81	2.449,00	125,47		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACIÓN DE SERVICIO LASCANO 2000 SA					NAZCA 2502			SHELL C.A.P.S.A.		1.723,69	2.429,00	123,72		SI
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION DE SERVICIO NORTEÑA SRL					Av Ricardo Balbin 4491			YPF		1.423,25	2.258,00	225,61		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACIÓN DE SERVICIO SAAVEDRA S.R.L.					CRISÓLOGO LARRALDE 4688			YPF		1.797,00	2.260,00	65,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION DE SERVICIOS AVALOS S.A.					AV.DE LOS INCAS 4801			YPF		1.560,95	2.255,00	124,49		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION DE SERVICIOS SANTA TERESITA					AV. EVA PERON 3668			PUMA		1.707,28	2.406,00	15,12		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION DE SERVICIO VAZQUEZ HNOS.SRL					Piedrabuena 4611			PUMA		1.723,07	2.406,00	17,98		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION LIMA S.R.L.					Lima 835			SHELL C.A.P.S.A.		1.726,28	2.429,00	406,35		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION S.A.					Asamblea 19			SHELL C.A.P.S.A.		1.324,23	2.452,00	95,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTACION SERVICIO SHELL ACENAF					AV.DE LOS CONTITUYENTES 4435			SHELL C.A.P.S.A.		1.723,70	2.429,00	94,20		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		ESTADÍAS Y SERVICIOS SA					ALMAFUERTE 187			AXION		1.726,28	2.429,00	44,53		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		EVANGELISTA E HIJOS S.A.					AV. LACARRA 1729			PUMA		1.917,95	2.329,00	5.000,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		FAST OIL S.A.					AV. SAN MARTIN 2401			SHELL C.A.P.S.A.		1.675,88	2.452,00	78,18		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		FGC FUELS MARKETING SA					Famatina 3387			SHELL C.A.P.S.A.		1.660,36	2.429,00	65,06		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		FUENTE DE PETRÓLEO S.A.					AV.ALVAREZ JONTE 2695			YPF		1.594,46	2.259,00	69,09		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GARAGE Y EST.DE SERV.EL PROGRESO S.A.					AV. OLIVERA 1136			YPF		1.569,00	2.239,00	25,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GASOLEO S.A.					Av. Juan B. Alberdi 7500			YPF		1.567,99	2.239,00	77,72		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GASPARQUE S.A.					AV. DR. RICARDO BALBIN 5041			YPF		1.594,60	2.260,00	120,97		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GC CONGRESO S.R.L					ENTRE RIOS 1102			PUMA		1.680,88	2.373,00	23,89		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GHIOLDI HNOS.S.A.DE T.C.I.Y F.					AV.AMANCIO ALCORTA Y LOS PATOS			BLANCA		1.751,05	2.459,00	5,30		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GOMCOM S.A.					AV F.F.DE LA CRUZ 3205			SHELL C.A.P.S.A.		1.741,73	2.429,00	50,51		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		GOPA S.A.					NOGOYA 3641			YPF		1.580,00	2.252,00	50,94		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		HUACALERA SRL					Av. Juan de Garay 2780			YPF		1.564,74	2.335,00	71,43		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		IMPIERI, PIÑEIRO, RIZZO Y ASOC. S.A.					Mexico 2701			SHELL C.A.P.S.A.		1.732,72	2.429,00	113,27		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		INCAT S.R.L.					AV. INDEPENDENCIA 2701			YPF		1.571,95	2.239,00	211,61		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		INV-EST S.C.A.					AV. ASAMBLEA 1502			SHELL C.A.P.S.A.		1.314,25	2.429,00	98,00		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		JONTE 3386 SRL					JONTE 3386			YPF		1.847,76	2.252,00	126,72		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		Juan B. Justo 1333 S. A.					AV. JUAN B. JUSTO 1333			SHELL C.A.P.S.A.		1.739,10	2.449,00	128,27		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		KINKA S.A.					AV.RAUL S. ORTIZ 1406			SHELL C.A.P.S.A.		1.723,83	2.429,00	126,94		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		KLIVE S.A.					COLPAYO 406			YPF		1.580,37	2.252,00	66,68		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		LAFUENTE COMBUSTIBLESS.R.L.					AVDA. RABANAL 2999			BLANCA		1.730,51	2.415,00	0,02		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		LA QUINTA ESTACION S.R.L.					AV.GRAL.MOSCONI 3289			YPF		1.577,88	2.255,00	203,61		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		LE BRETON S.R.L.					CONGRESO 4008			YPF		1.580,50	2.260,00	97,78		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		LEJEM S.A.					INTENDENTE RABANAL 1733			AXION		1.695,71	2.389,00	41,63		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		MADRO S.A.					AV. AMANCIO ALCORTA 2711			YPF		1.478,45	2.244,00	28,09		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		MAURER & GRUMELLI S.R.L.					MIRANDA 5317			YPF		1.580,45	2.252,00	182,91		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		MONTES DE OCA 1885 S.R.L.					MONTES DE OCA 1885			SHELL C.A.P.S.A.		1.740,33	2.452,00	155,55		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		NAFPUR S.A.					Larrazabal 3645			YPF		1.599,15	2.239,00	136,41		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		NAFPUR XXI SA.					Zelarrayan 5530			YPF		1.599,24	2.239,00	290,91		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		NOCEDA S.A.					Warnes 236			YPF		1.594,27	2.291,00	52,58		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		NUESTRO SOSIEGO SA					DONATO ALVAREZ 2290			YPF		1.580,02	2.252,00	67,99		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OCTOBER S.A.					AV. WARNES 2040			AXION		1.309,71	2.389,00	36,72		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV CORDOBA 5984 Y DORREGO			YPF		1.676,43	2.284,00	150,14		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					VELEZ SARFIELD 850			YPF		1.637,87	2.239,00	140,89		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV. CABILDO 4108			YPF		1.676,43	2.284,00	177,88		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					J B JUSTO 1215 Y NICARAGUA			YPF		1.676,43	2.284,00	193,88		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV CORDOBA 4201 Y PRINGLES			YPF		1.676,43	2.284,00	155,05		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV DE LOS CONSTITUYENTES 6070			YPF		1.651,58	2.255,00	170,47		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV CABILDO 3501			YPF		1.676,43	2.284,00	190,10		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV DIRECTORIO 4311/27 Y OLIVERA			YPF		1.637,87	2.239,00	118,10		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV DIAZ VELEZ 4373 Y YATAY			YPF		1.649,01	2.252,00	173,63		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					FIGUEROA ALCORTA 6608 Y ECHEVERRIA			YPF		1.676,43	2.284,00	424,04		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA					AV.FRANCISCO BEIRÓ 5804			YPF		1.651,58	2.255,00	105,88		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA ACA AUTODROMO					AVENIDA CNEL. JOSE SEGUNDO ROCA 4550			YPF		1.637,87	2.239,00	136,09		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA ACA CABALLITO					AV GAONA 1204 Y MARTIN DE GAINZA			YPF		1.649,01	2.252,00	265,16		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		OPESSA ACA ONCE					AV RIVADAVIA 3341			YPF		1.649,01	2.252,00	214,73		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PANAMERICANA SRL					AV. SAN MARTIN 5316			YPF		1.576,72	2.255,00	93,77		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Jujuy 164/196 (esq. Alsina)			AXION		1.693,23	2.389,00	48,98		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Juan de Garay 1302 (esq. Santiago del Estero)			AXION		1.693,23	2.389,00	61,82		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Cruz 1501 (esq. Centenera)			AXION		1.726,28	2.429,00	47,23		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 8201/31 (esq. Joaquin V. Gonzalez)			AXION		1.693,23	2.389,00	58,52		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Gral. Paz 525 (esq. Cuevas)			AXION		1.701,49	2.399,00	176,27		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. La Plata 575 (esq. Alberdi)			AXION		1.693,23	2.389,00	98,14		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 3199 (esq. Anchorena)			AXION		1.693,23	2.389,00	39,72		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Monroe 3078 (esq. Balbin)			AXION		1.701,49	2.399,00	156,10		NO
CAPITAL FEDERAL	Nafta (premium) de más de 95 Ron		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Triunvirato 5878 (esq. Av. Crisólogo Larralde)			AXION		1.701,49	2.399,00	110,87		NO
