Diputado	Distrito	Mandato	Inicia mandato	Finaliza mandato	Bloque
Laspina, Luciano Andrés  	SANTA FE	2021-2025	12/10/21	12/09/25	PRO
Ledesma, Tomás  	ENTRE RIOS	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Leiva, Aldo  	CHACO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Lemoine, Lilia  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Litza, Mónica  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Llancafilo, Osvaldo  	NEUQUEN	2021-2025	12/07/23	12/09/25	MOVIMIENTO POPULAR NEUQUINO
Llano, Mercedes  	MENDOZA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
López, Juan Manuel  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	COALICION CIVICA
López Murphy, Ricardo Hipólito  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	REPUBLICANOS UNIDOS
López Rodríguez, Dante  	CATAMARCA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Lospennato, Silvia  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
Macha, Mónica  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Macyszyn, Lorena  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Manes, Facundo  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Manrique, Mario  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Maquieyra, Martín  	LA PAMPA	2021-2025	12/10/21	12/09/25	PRO
Marín, Varinia Lis  	LA PAMPA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Marino, Juan  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Márquez, Nadia  	NEUQUEN	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Martínez, Álvaro  	MENDOZA	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Martínez, Germán Pedro  	SANTA FE	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Marziotta, Gisela  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Massot, Nicolás  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Mastaler, Magalí  	SANTA FE	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Mayoraz, Nicolás  	SANTA FE	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Medina, Gladys  	TUCUMAN	2023-2027	12/10/23	12/09/27	INDEPENDENCIA
Menem, Martín  	LA RIOJA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Milman, Gerardo  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Mirabella, Roberto  	SANTA FE	2021-2025	12/10/21	12/09/25	DEFENDAMOS SANTA FE
Molle, Matías  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Montenegro, Guillermo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Monti, Francisco  	CATAMARCA	2021-2025	12/10/21	12/09/25	LIGA DEL INTERIOR ELI
Montoto, María Luisa  	SANTIAGO DEL ESTERO	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Monzó, Emilio  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Monzón, Roxana  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Moran, Micaela  	BUENOS AIRES	2021-2025	10/12/22	12/09/25	UNIÓN POR LA PATRIA
Morchio, Francisco  	ENTRE RIOS	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Moreau, Leopoldo  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Moreau, Cecilia  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Moreno, María De Los Ángeles  	SAN JUAN	2021-2025	12/10/23	12/09/25	PRODUCCION Y TRABAJO
Moreno Ovalle, Julio  	SALTA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Moyano, Nilda  	SANTIAGO DEL ESTERO	2021-2025	12/16/21	12/09/25	UNIÓN POR LA PATRIA
Neder, Estela Mary  	SANTIAGO DEL ESTERO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Nieri, Lisandro  	MENDOZA	2023-2027	12/10/23	12/09/27	UCR - UNIÓN CÍVICA RADICAL
Nóblega, Sebastián  	CATAMARCA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Nuñez, José  	SANTA FE	2023-2027	12/10/23	12/09/27	PRO
Oliveto Lago, Paula  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	COALICION CIVICA
Omodeo, Paula  	TUCUMAN	2021-2025	12/10/21	12/09/25	CREO
Orozco, Emilia  	SALTA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Osuna, Blanca Inés  	ENTRE RIOS	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Outes, Pablo  	SALTA	2023-2027	12/10/23	12/09/27	INNOVACIÓN FEDERAL
Pagano, Marcela Marina  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	COHERENCIA
Palazzo, Sergio Omar  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Paponet, Liliana  	MENDOZA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Parola, María Graciela  	FORMOSA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Passo, Marcela Fabiana  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Pauli, Santiago  	TIERRA DEL FUEGO	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Paulón, Esteban  	SANTA FE	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Pedrali, Gabriela  	LA RIOJA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Pedrini, Juan Manuel  	CHACO	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Peluc, José  	SAN JUAN	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Penacca, Paula Andrea  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Pereyra, Julio  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Picat, Luis Albino  	CORDOBA	2023-2027	12/10/23	12/09/27	LIGA DEL INTERIOR ELI
Pichetto, Miguel Ángel  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Picón Martínez, Nancy Viviana  	SAN JUAN	2023-2027	12/10/23	12/09/27	PRODUCCION Y TRABAJO
Píparo, Carolina  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Pokoik, Lorena  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Polini, Juan Carlos  	CHACO	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Ponce, María Celeste  	CORDOBA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Potenza, Luciana  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Prades, C. Facundo  	SANTA CRUZ	2021-2025	09/17/25	12/09/25	POR SANTA CRUZ
Propato, Agustina Lucrecia  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Quetglas, Fabio José  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Quintar, Manuel  	JUJUY	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Quiroz, Marilú  	CHACO	2021-2025	12/10/21	12/09/25	PRO
Randazzo, Florencio  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Rauschenberger, Ariel  	LA PAMPA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Razzini, Verónica  	SANTA FE	2023-2027	12/10/23	12/09/27	FUTURO Y LIBERTAD
Reyes, Roxana  	SANTA CRUZ	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Ripoll, Vilma  	BUENOS AIRES	2021-2025	04/16/25	12/09/25	MST - FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD
Ritondo, Cristian A.  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
Rizzotti, Jorge  	JUJUY	2023-2027	12/10/23	12/09/27	DEMOCRACIA PARA SIEMPRE
Rodríguez Machado, Laura  	CORDOBA	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Romero, Jorge Antonio  	CORRIENTES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Romero, Ana Clara  	CHUBUT	2021-2025	12/10/21	12/09/25	PRO
Ruíz, Yamila  	MISIONES	2023-2027	12/10/23	12/09/27	INNOVACIÓN FEDERAL
Sánchez, Roberto Antonio  	TUCUMAN	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Sánchez Wrba, Javier  	BUENOS AIRES	2021-2025	03/12/25	12/09/25	PRO
Sand, Nancy  	CORRIENTES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Santillán Juárez Brahim, Juliana  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Santilli, Diego   RENUNCIA PENDIENTE DE APROBACIÓN 	BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Santoro, Leandro  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Santurio, Santiago  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Sarapura, Natalia Silvina  	JUJUY	2021-2025	06/13/23	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Selva, Sabrina  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Siley, Vanesa Raquel  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Snopek, Guillermo  	JUJUY	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Soria, Martín  	RIO NEGRO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Sotolano, María  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Stolbizer, Margarita  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Strada, Julia  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Tailhade, Rodolfo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Tavela, Danya  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Tetaz, Martin Alberto  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Todero, Pablo  	NEUQUEN	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Tolosa Paz, Victoria  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Toniolli, Eduardo  	SANTA FE	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Torres, Alejandra  	CORDOBA	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Tortoriello, Anibal  	RIO NEGRO	2021-2025	12/10/21	12/09/25	PRO
Tournier, José Federico  	CORRIENTES	2023-2027	08/14/24	12/09/27	LIGA DEL INTERIOR ELI
Treffinger, César  	CHUBUT	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Valdés, Eduardo Félix  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Vancsik, Daniel  	MISIONES	2023-2027	12/10/23	12/09/27	INNOVACIÓN FEDERAL
Vargas Matyi, Brenda  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Vásquez, Patricia  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Vega, Yolanda  	SALTA	2023-2027	12/10/23	12/09/27	INNOVACIÓN FEDERAL
Verasay, Pamela Fernanda  	MENDOZA	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Vidal, María Eugenia  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Vilca, Alejandro  	JUJUY	2021-2025	12/10/21	12/09/25	PTS-FRENTE DE IZQUIERDA UNIDAD
Villaverde, Lorena  	RIO NEGRO	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Volnovich, Luana  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Yasky, Hugo  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Yedlin, Pablo Raúl  	TUCUMAN	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Yeza, Martín  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
Yutrovic, Carolina  	TIERRA DEL FUEGO	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Zabala Chacur, Natalia  	SAN LUIS	2021-2025	12/21/21	12/09/25	UNIÓN POR LA PATRIA
Zago, Oscar  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO
Zapata, Carlos Raúl  	SALTA	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Zaracho, Natalia  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Zulli, Christian Alejandro  	CORRIENTES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
