DIPUTADO	BLOQUE	BLOQUE (historico)	PROVINCIA	141-14-1	141-15-5	0142-03-02	142-3-38	0142-05-07	0142-06-01	0142-08-20	0142-09-01	0142-11-01	142-13-1	142-22-10	0143-02-03	0143-04-01	0143-09-01	0143-09-05	0143-09-06	0143-09-13	0143-11-01	0143-11-05	0143-11-10	0143-11-11	0143-11-12	0143-11-13	0143-11-14	0143-12-02	0143-12-04	0143-12-05	0143-12-06	143-14-3	143-14-4	143-15-1	143-15-4
PAULON, ESTEBAN	ENCUENTRO FEDERAL	HACEMOS COALICION FEDERAL → ENCUENTRO FEDERAL	SANTA FE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
PEDRALI, GABRIELA	UNION POR LA PATRIA		LA RIOJA	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
PEDRINI, JUAN MANUEL	UNION POR LA PATRIA		CHACO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
PELUC, JOSE	LA LIBERTAD AVANZA		SAN JUAN	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
PENACCA, PAULA ANDREA	UNION POR LA PATRIA		C.A.B.A.	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
PEREYRA, JULIO	UNION POR LA PATRIA		BUENOS AIRES	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
PICAT, LUIS ALBINO	LIGA DEL INTERIOR ELI	UCR   UNION CIVICA RADICAL → LIGA DEL INTERIOR ELI	CÓRDOBA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
PICHETTO, MIGUEL ANGEL	ENCUENTRO FEDERAL	HACEMOS COALICION FEDERAL → ENCUENTRO FEDERAL	BUENOS AIRES	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
PICON MARTINEZ, NANCY VIVIANA	PRODUCCION Y TRABAJO		SAN JUAN	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO
PIPARO, CAROLINA	LA LIBERTAD AVANZA	BUENOS AIRES LIBRE → LA LIBERTAD AVANZA	BUENOS AIRES	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
POKOIK, LORENA	UNION POR LA PATRIA		C.A.B.A.	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
POLINI, JUAN CARLOS	DEMOCRACIA PARA SIEMPRE	UCR   UNION CIVICA RADICAL → DEMOCRACIA PARA SIEMPRE	CHACO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
